created_at,referencia_credito,datos_garantia.fecha_desembolso,datos_garantia.codigo_producto
2023-10-31 16:34:38.891,84684571,2023-10-31 12:55:55,489
2023-10-31 16:34:39.831,78344545,2023-10-31 12:55:55,489
2023-10-31 16:34:40.738,43115856,2023-10-31 12:55:55,489
2023-10-31 16:34:41.557,25967762,2023-10-31 12:55:55,489
2023-10-31 16:34:42.431,43861693,2023-10-31 12:55:56,489
2023-10-31 16:34:43.292,77118827,2023-10-31 12:55:56,489
2023-10-31 16:34:44.084,81324181,2023-10-31 12:55:56,489
2023-10-31 16:34:45.111,72755224,2023-10-31 12:55:56,489
2023-10-31 16:34:46.012,49634374,2023-10-31 12:55:56,489
2023-10-31 16:34:46.853,97832673,2023-10-31 12:55:56,489
2023-10-31 16:34:47.895,61187194,2023-10-31 12:55:56,489
2023-10-31 16:34:48.988,22416726,2023-10-31 12:55:56,489
2023-10-31 16:34:49.869,89317379,2023-10-31 12:55:56,489
2023-10-31 16:34:50.815,15334734,2023-10-31 12:55:56,489
2023-10-31 16:34:51.611,41817262,2023-10-31 12:55:56,489
2023-10-31 16:34:52.420,97786653,2023-10-31 12:55:56,489
2023-10-31 16:34:53.564,42482721,2023-10-31 12:55:56,489
2023-10-31 16:34:54.395,51347517,2023-10-31 12:55:56,489
2023-10-31 16:34:55.396,59283925,2023-10-31 12:55:56,489
2023-10-31 16:34:56.466,51345948,2023-10-31 12:55:56,489
2023-10-31 16:34:57.531,63681265,2023-10-31 12:55:57,489
2023-10-31 16:34:58.382,77259844,2023-10-31 12:55:57,489
2023-10-31 16:34:59.488,88973637,2023-10-31 12:55:57,489
2023-10-31 16:35:00.666,86858916,2023-10-31 12:55:57,489
2023-10-31 16:35:01.746,28846916,2023-10-31 12:55:57,489
2023-10-31 16:35:02.672,91198568,2023-10-31 12:55:57,489
2023-10-31 16:35:04.041,29122789,2023-10-31 12:55:57,489
2023-10-31 16:35:05.388,33367398,2023-10-31 12:55:57,489
2023-10-31 16:35:06.311,44836538,2023-10-31 12:55:57,489
2023-10-31 16:35:07.270,45285951,2023-10-31 12:55:57,489
2023-10-31 16:35:08.301,26349384,2023-10-31 12:55:57,489
2023-10-31 16:35:09.178,68286125,2023-10-31 12:55:57,489
2023-10-31 16:35:10.053,25346394,2023-10-31 12:55:57,489
2023-10-31 16:35:11.046,95242287,2023-10-31 12:55:57,489
2023-10-31 16:35:11.968,74325484,2023-10-31 12:55:57,489
2023-10-31 16:35:12.926,54962517,2023-10-31 12:55:57,489
2023-10-31 16:35:13.855,22353947,2023-10-31 12:55:57,489
2023-10-31 16:35:14.868,78632592,2023-10-31 12:55:57,489
2023-10-31 16:35:16.011,34584815,2023-10-31 12:55:58,489
2023-10-31 16:35:17.019,78871126,2023-10-31 12:55:58,489
2023-10-31 16:35:17.965,15613444,2023-10-31 12:55:58,489
2023-10-31 16:35:19.017,95834815,2023-10-31 12:55:58,489
2023-10-31 16:35:19.879,63962341,2023-10-31 12:55:58,489
2023-10-31 16:35:21.043,83391949,2023-10-31 12:55:58,489
2023-10-31 16:35:21.947,91318475,2023-10-31 12:55:58,489
2023-10-31 16:35:22.955,34563778,2023-10-31 12:55:58,489
2023-10-31 16:35:23.907,62426855,2023-10-31 12:55:58,489
2023-10-31 16:35:24.846,54434511,2023-10-31 12:55:58,489
2023-10-31 16:35:25.872,73949662,2023-10-31 12:55:58,489
2023-10-31 16:35:26.618,78172869,2023-10-31 12:55:58,489
2023-10-31 16:35:27.628,99881128,2023-10-31 12:55:58,489
2023-10-31 16:35:28.773,79434337,2023-10-31 12:55:58,489
2023-10-31 16:35:29.765,86142298,2023-10-31 12:55:58,489
2023-10-31 16:35:30.801,32187442,2023-10-31 12:55:58,489
2023-10-31 16:35:31.841,31335312,2023-10-31 12:55:58,489
2023-10-31 16:35:32.746,96889927,2023-10-31 12:55:58,489
2023-10-31 16:35:33.673,13833355,2023-10-31 12:55:58,489
2023-10-31 16:35:34.527,21318924,2023-10-31 12:55:59,489
2023-10-31 16:35:35.918,56576924,2023-10-31 12:55:59,489
2023-10-31 16:35:36.820,27614861,2023-10-31 12:55:59,489
2023-10-31 16:35:37.748,98163921,2023-10-31 12:55:59,489
2023-10-31 16:35:38.740,93534769,2023-10-31 12:55:59,489
2023-10-31 16:35:39.747,44196979,2023-10-31 12:55:59,489
